,Reconfiguring
2.80419999999998E-05,0
0.010832417,1
2.78329999999997E-05,0
0.010828042,1
2.75830000000012E-05,0
0.010836708,1
2.77919999999987E-05,0
0.010830583,1
2.81249999999969E-05,0
0.010821834,1
2.72909999999987E-05,0
0.010830084,1
2.80829999999982E-05,0
0.010824917,1
2.76660000000095E-05,0
0.010821875,1
2.72499999999926E-05,0
0.010827709,1
2.74999999999997E-05,0
0.010822416,1
2.76669999999951E-05,0
0.010837667,1
2.69579999999936E-05,0
0.010828583,1
2.71669999999946E-05,0
0.010832917,1
2.7124999999989E-05,0
0.010831083,1
2.69579999999936E-05,0
0.010822667,1
2.80000000000002E-05,0
0.01082725,1
2.79579999999946E-05,0
0.010825709,1
2.78330000000049E-05,0
0.010823292,1
2.69160000000157E-05,0
0.01083525,1
2.80000000000002E-05,0
0.010826917,1
2.80000000000002E-05,0
0.010832458,1
2.72090000000003E-05,0
0.010844333,1
2.78330000000049E-05,0
0.0108395,1
2.72089999999725E-05,0
0.01084775,1
2.80410000000342E-05,0
0.010840625,1
2.76249999999756E-05,0
0.010838667,1
2.78750000000105E-05,0
0.01083125,1
2.74170000000296E-05,0
0.010829583,1
2.72920000000121E-05,0
0.010821416,1
2.76669999999535E-05,0
0.010826333,1
2.75840000000249E-05,0
0.010824541,1
2.76250000000311E-05,0
0.010825459,1
2.75829999999977E-05,0
0.010824208,1
2.72499999999787E-05,0
0.010821625,1
2.77920000000265E-05,0
0.010837292,1
2.74579999999802E-05,0
0.0108485,1
2.82919999999853E-05,0
0.010832625,1
2.82500000000074E-05,0
0.010834583,1
2.69170000000152E-05,0
0.010844541,1
2.71669999999946E-05,0
0.010839625,1
2.71249999999612E-05,0
0.010844375,1
2.78750000000105E-05,0
0.01084125,1
2.70830000000388E-05,0
0.010843167,1
2.81670000000234E-05,0
0.010824458,1
2.79999999999725E-05,0
0.010836083,1
2.69999999999992E-05,0
0.010824917,1
2.75829999999422E-05,0
0.010817917,1
2.77080000000707E-05,0
0.010827417,1
2.7416999999974E-05,0
0.010811666,1
2.78750000000105E-05,0
0.010827667,1
2.79170000000439E-05,0
0.010837083,1
2.67919999999977E-05,0
0.010821708,1
2.70830000000943E-05,0
0.010834417,1
2.75829999999422E-05,0
0.010814709,1
2.75830000000532E-05,0
0.010814458,1
2.7667000000009E-05,0
0.010823708,1
2.76250000000866E-05,0
0.010826209,1
2.8000000000028E-05,0
0.0108275,1
2.8082999999901E-05,0
0.010826417,1
2.75410000000198E-05,0
0.010824334,1
2.73330000000183E-05,0
0.010818625,1
2.79579999999946E-05,0
0.01082825,1
2.68340000000311E-05,0
0.010826916,1
2.78750000000105E-05,0
0.010825459,1
2.83749999999694E-05,0
0.01083375,1
2.80830000000121E-05,0
0.010849375,1
2.71250000000167E-05,0
0.010835917,1
2.79579999999946E-05,0
0.010822375,1
2.82919999999853E-05,0
0.010832458,1
2.75420000001025E-05,0
0.010831,1
2.77499999999931E-05,0
0.010835875,1
2.74579999999247E-05,0
0.010836708,1
2.82090000000013E-05,0
0.010830416,1
2.72920000000676E-05,0
0.010834208,1
2.72920000000676E-05,0
0.010825042,1
2.79579999999946E-05,0
0.010832083,1
2.75419999999915E-05,0
0.010839042,1
2.70829999999833E-05,0
0.010845667,1
2.69999999999992E-05,0
0.010838541,1
2.68339999999201E-05,0
0.010838125,1
2.69160000000435E-05,0
0.010827375,1
2.75419999999915E-05,0
0.0108235,1
2.78329999999771E-05,0
0.010819209,1
2.77499999999931E-05,0
0.010826208,1
2.79579999999946E-05,0
0.010826917,1
2.8000000000028E-05,0
0.010825375,1
2.77919999999154E-05,0
0.010824666,1
2.68750000000928E-05,0
0.010822584,1
2.78330000000881E-05,0
0.010827292,1
2.72080000000008E-05,0
0.010832167,1
2.78750000000105E-05,0
0.010827875,1
2.72909999999848E-05,0
0.010825959,1
2.77079999999596E-05,0
0.01082475,1
2.69170000000152E-05,0
0.010823583,1
2.69999999999992E-05,0
0.010824042,1
2.74999999998471E-05,0
0.010813416,1
2.74999999998471E-05,0
0.010817167,1
2.70419999999216E-05,0
0.010816208,1
2.72079999998898E-05,0
0.010825209,1
2.74579999999247E-05,0
0.010826417,1
2.71250000001277E-05,0
0.010827125,1
2.81250000000455E-05,0
0.010834708,1
2.81250000000455E-05,0
0.010833125,1
2.72500000000342E-05,0
0.010830875,1
2.78750000000105E-05,0
0.010833208,1
2.68340000000311E-05,0
0.010828458,1
2.70420000001437E-05,0
0.010820583,1
2.85420000001313E-05,0
0.01082925,1
2.71249999999057E-05,0
0.0108345,1
2.79579999999946E-05,0
0.010824375,1
2.77079999999596E-05,0
0.01083075,1
2.84590000001472E-05,0
0.010834333,1
2.76249999999756E-05,0
0.01083275,1
2.71250000001277E-05,0
0.010831292,1
2.69580000000769E-05,0
0.010821542,1
2.76659999998152E-05,0
0.010821917,1
2.84170000000028E-05,0
0.010834666,1
2.78750000000105E-05,0
0.010846459,1
2.79160000000722E-05,0
0.010832625,1
2.77920000000265E-05,0
0.010827417,1
2.84159999999201E-05,0
0.010833209,1
2.81250000000455E-05,0
0.010831333,1
2.67920000001087E-05,0
0.010835208,1
2.79579999999946E-05,0
0.010830292,1
2.84170000002248E-05,0
0.010827,1
2.82499999999519E-05,0
0.010826541,1
2.7334000000101E-05,0
0.010828833,1
2.8000000000139E-05,0
0.01081275,1
2.84580000000645E-05,0
0.010816125,1
2.81669999999679E-05,0
0.0108195,1
2.79579999999946E-05,0
0.010812709,1
2.80410000002007E-05,0
0.0108185,1
2.75419999999915E-05,0
0.010832125,1
2.72500000000342E-05,0
0.010832125,1
2.69580000000769E-05,0
0.0108265,1
2.7416999999863E-05,0
0.010829208,1
2.82920000000963E-05,0
0.010816875,1
2.8332999999936E-05,0
0.010814542,1
2.78749999997885E-05,0
0.010820958,1
2.75420000002136E-05,0
0.010817583,1
2.83340000000187E-05,0
0.010823833,1
2.78330000000881E-05,0
0.01081925,1
2.83340000000187E-05,0
0.010815041,1
2.86250000001154E-05,0
0.010825167,1
2.69579999998548E-05,0
0.010819417,1
2.77080000001817E-05,0
0.010827084,1
2.7999999999917E-05,0
0.010820708,1
2.78749999997885E-05,0
0.010832208,1
2.78339999999488E-05,0
0.010825708,1
2.81669999999679E-05,0
0.010830458,1
2.73750000001627E-05,0
0.010816917,1
2.8333000000158E-05,0
0.010826917,1
2.70830000002054E-05,0
0.010820667,1
2.84159999999201E-05,0
0.01082025,1
2.69589999999376E-05,0
0.010815,1
2.73750000001627E-05,0
0.010825583,1
2.81669999999679E-05,0
0.0108315,1
2.75830000000532E-05,0
0.010831458,1
2.77920000000265E-05,0
0.010822417,1
2.79579999999946E-05,0
0.010826083,1
2.78750000002326E-05,0
0.010832042,1
2.7749999999882E-05,0
0.010841542,1
2.76660000000373E-05,0
0.010833417,1
2.82080000000295E-05,0
0.010849834,1
2.81249999998234E-05,0
0.0108385,1
2.79579999999946E-05,0
0.010842667,1
2.75410000001308E-05,0
0.010840542,1
2.74579999999247E-05,0
0.010835084,1
2.68750000000928E-05,0
0.010826041,1
2.79589999998553E-05,0
0.010823458,1
2.76249999999756E-05,0
0.010828292,1
2.80410000002007E-05,0
0.010817,1
2.77090000000424E-05,0
0.010822583,1
2.75830000000532E-05,0
0.010822209,1
2.84580000000645E-05,0
0.0108255,1
2.7749999999882E-05,0
0.010827292,1
2.75830000000532E-05,0
0.010826708,1
2.82499999999519E-05,0
0.010817792,1
2.77080000001817E-05,0
