,Reconfiguring
0.010832417,1
0.010828042,1
0.010836708,1
0.010830583,1
0.010821834,1
0.010830084,1
0.010824917,1
0.010821875,1
0.010827709,1
0.010822416,1
0.010837667,1
0.010828583,1
0.010832917,1
0.010831083,1
0.010822667,1
0.01082725,1
0.010825709,1
0.010823292,1
0.01083525,1
0.010826917,1
0.010832458,1
0.010844333,1
0.0108395,1
0.01084775,1
0.010840625,1
0.010838667,1
0.01083125,1
0.010829583,1
0.010821416,1
0.010826333,1
0.010824541,1
0.010825459,1
0.010824208,1
0.010821625,1
0.010837292,1
0.0108485,1
0.010832625,1
0.010834583,1
0.010844541,1
0.010839625,1
0.010844375,1
0.01084125,1
0.010843167,1
0.010824458,1
0.010836083,1
0.010824917,1
0.010817917,1
0.010827417,1
0.010811666,1
0.010827667,1
0.010837083,1
0.010821708,1
0.010834417,1
0.010814709,1
0.010814458,1
0.010823708,1
0.010826209,1
0.0108275,1
0.010826417,1
0.010824334,1
0.010818625,1
0.01082825,1
0.010826916,1
0.010825459,1
0.01083375,1
0.010849375,1
0.010835917,1
0.010822375,1
0.010832458,1
0.010831,1
0.010835875,1
0.010836708,1
0.010830416,1
0.010834208,1
0.010825042,1
0.010832083,1
0.010839042,1
0.010845667,1
0.010838541,1
0.010838125,1
0.010827375,1
0.0108235,1
0.010819209,1
0.010826208,1
0.010826917,1
0.010825375,1
0.010824666,1
0.010822584,1
0.010827292,1
0.010832167,1
0.010827875,1
0.010825959,1
0.01082475,1
0.010823583,1
0.010824042,1
0.010813416,1
0.010817167,1
0.010816208,1
0.010825209,1
0.010826417,1
0.010827125,1
0.010834708,1
0.010833125,1
0.010830875,1
0.010833208,1
0.010828458,1
0.010820583,1
0.01082925,1
0.0108345,1
0.010824375,1
0.01083075,1
0.010834333,1
0.01083275,1
0.010831292,1
0.010821542,1
0.010821917,1
0.010834666,1
0.010846459,1
0.010832625,1
0.010827417,1
0.010833209,1
0.010831333,1
0.010835208,1
0.010830292,1
0.010827,1
0.010826541,1
0.010828833,1
0.01081275,1
0.010816125,1
0.0108195,1
0.010812709,1
0.0108185,1
0.010832125,1
0.010832125,1
0.0108265,1
0.010829208,1
0.010816875,1
0.010814542,1
0.010820958,1
0.010817583,1
0.010823833,1
0.01081925,1
0.010815041,1
0.010825167,1
0.010819417,1
0.010827084,1
0.010820708,1
0.010832208,1
0.010825708,1
0.010830458,1
0.010816917,1
0.010826917,1
0.010820667,1
0.01082025,1
0.010815,1
0.010825583,1
0.0108315,1
0.010831458,1
0.010822417,1
0.010826083,1
0.010832042,1
0.010841542,1
0.010833417,1
0.010849834,1
0.0108385,1
0.010842667,1
0.010840542,1
0.010835084,1
0.010826041,1
0.010823458,1
0.010828292,1
0.010817,1
0.010822583,1
0.010822209,1
0.0108255,1
0.010827292,1
0.010826708,1
0.010817792,1
0.010824834,1
0.010824542,1
0.010815708,1
0.010815125,1
0.010810834,1
0.010807292,1
0.010813916,1
0.010817458,1
0.010827542,1
0.010822959,1
0.010828292,1
0.010826334,1
0.010824709,1
0.010827,1
0.010833709,1
0.010823416,1
0.010818167,1
0.010817709,1
0.010825125,1
0.010823625,1
0.010828084,1
0.010817667,1
0.010820458,1
0.010832417,1
0.010827167,1
0.010827458,1
0.010818792,1
0.010814709,1
0.010833667,1
0.010825666,1
0.0108255,1
0.010833042,1
0.010836625,1
0.010835958,1
0.01082125,1
0.010820208,1
0.010814583,1
0.010813708,1
0.010816333,1
0.01080425,1
0.010803458,1
0.010812292,1
0.010832666,1
0.010828292,1
0.010820458,1
0.010823375,1
0.010824792,1
0.0108195,1
0.010820792,1
0.010821417,1
0.0108285,1
0.010823542,1
0.010810834,1
0.010807667,1
0.010816209,1
0.010818667,1
0.01081575,1
0.010817542,1
0.010824667,1
0.010827166,1
0.010819,1
0.010815959,1
0.010816667,1
0.010819625,1
0.010816792,1
0.010822417,1
0.01082375,1
0.010815667,1
0.010815625,1
0.0108145,1
0.010808292,1
0.01082,1
0.010818125,1
0.010817834,1
0.01082575,1
0.010826209,1
0.0108205,1
0.010823584,1
0.010822208,1
0.010817584,1
0.010823542,1
0.010819375000001,1
0.010809166,1
0.010819125,1
0.010835541,1
0.010832542,1
0.010830458,1
0.010825917,1
0.010830958,1
0.010833458,1
0.010841833,1
0.010828916,1
0.010824,1
0.010821166,1
0.010815458,1
0.010821375,1
0.010825875,1
0.010821958,1
0.010819167,1
0.010811583,1
0.010831166,1
0.010826,1
0.010825209,1
0.01082425,1
0.010837584,1
0.010837083,1
0.010823125,1
0.010829125,1
0.010825875,1
0.010823583,1
0.010831583,1
0.010826375,1
0.010820875,1
0.010819833,1
0.010821583,1
0.010819167,1
0.010818417,1
0.01081825,1
0.010807833,1
0.010813208,1
0.010808916,1
0.0108085,1
0.010805083,1
0.010811125,1
0.010813417,1
0.010820792,1
0.010810083,1
0.01080825,1
0.010823625,1
0.010815208,1
0.010823292000001,1
0.010822375,1
0.010819041,1
0.010822833,1
0.010827958,1
0.0108145,1
0.010823125,1
0.010811208,1
0.010816209,1
0.010832375,1
0.010818667,1
0.010828708,1
0.01082175,1
0.010821958,1
0.010825416,1
0.0108265,1
0.010827333,1
0.010823666,1
0.010815625,1
0.010817375,1
0.010821,1
0.01081675,1
0.0108225,1
0.010821,1
0.010819458,1
0.010828083,1
0.010833208,1
0.010823875,1
0.010828625,1
0.010827417,1
0.010838,1
0.010826417,1
0.010823958,1
0.010818333000001,1
0.010826834,1
0.010824708,1
0.010830542,1
0.010833791,1
0.0108245,1
0.01082125,1
0.010831292,1
0.010830792,1
0.010823375,1
0.010828583,1
0.010820125,1
0.010830834,1
0.010821958,1
0.010837375,1
0.010833209,1
0.010837542,1
0.010828375,1
0.010825583,1
0.010819166,1
0.010826167,1
0.01082075,1
0.010825542,1
0.010816333,1
0.010818667,1
0.010817417,1
0.010821083,1
0.0108125,1
0.010815875,1
0.010810875,1
0.010824375,1
0.010815542,1
0.010815542,1
0.010812791,1
0.010813583,1
0.010811125,1
0.0108145,1
0.010815459000001,1
0.01081625,1
0.0108255,1
