delta_t,Channel 7
,0
0.00661925,1
1.67000000000569E-07,0
0.007637125,1
1.25000000000125E-07,0
0.007639625,1
1.65999999999361E-07,0
0.007643625,1
1.25000000000125E-07,0
0.007636042,1
1.25000000003594E-07,0
0.007632542,1
1.24999999996656E-07,0
0.007633,1
1.25000000003594E-07,0
0.007632541,1
1.24999999996656E-07,0
0.007637625,1
1.25000000003594E-07,0
0.007628,1
1.25000000003594E-07,0
0.007630417,1
1.25000000003594E-07,0
0.007632417,1
1.66000000009769E-07,0
0.007630167,1
1.25000000003594E-07,0
0.00762925,1
1.66999999995365E-07,0
0.007633583,1
1.25000000003594E-07,0
0.007633917,1
1.65999999995892E-07,0
0.007636584,1
1.24999999989717E-07,0
0.007629416,1
1.67000000023121E-07,0
0.00762825,1
1.25000000017472E-07,0
0.007628,1
1.66999999995365E-07,0
0.0076335,1
1.24999999989717E-07,0
0.007633958,1
1.24999999989717E-07,0
0.007635,1
1.67000000023121E-07,0
0.0076325,1
1.65999999995892E-07,0
0.00763175,1
1.67000000023121E-07,0
0.007627708,1
1.66999999995365E-07,0
0.007624167,1
1.24999999989717E-07,0
0.007627916,1
1.24999999989717E-07,0
0.007624125,1
1.24999999989717E-07,0
0.007623209,1
1.65999999995892E-07,0
0.007625584,1
1.24999999989717E-07,0
0.007627708,1
1.66999999995365E-07,0
0.007633041,1
1.66999999995365E-07,0
0.007630833,1
1.66999999995365E-07,0
0.007632958,1
1.25000000017472E-07,0
0.007629417,1
1.67000000050876E-07,0
0.007628208,1
1.66999999995365E-07,0
0.007629916,1
1.25000000017472E-07,0
0.007636625,1
1.67000000050876E-07,0
0.007635708,1
1.25000000017472E-07,0
0.007638042,1
1.66999999995365E-07,0
0.007632333,1
1.66999999995365E-07,0
0.007623875,1
1.66000000023647E-07,0
0.007626292,1
1.25000000017472E-07,0
0.007633167,1
1.65999999968136E-07,0
0.007632375,1
1.25000000017472E-07,0
0.007628459,1
1.66000000023647E-07,0
0.007629459,1
1.66000000023647E-07,0
0.007626625,1
1.66999999995365E-07,0
0.007629208,1
1.66999999995365E-07,0
0.007623542,1
1.65999999968136E-07,0
0.007629417,1
1.66999999995365E-07,0
0.00762825,1
1.24999999961961E-07,0
0.007634208,1
1.66999999995365E-07,0
0.007633,1
1.66000000023647E-07,0
0.007632334,1
1.66000000023647E-07,0
0.007631542,1
1.25000000017472E-07,0
0.007626208,1
1.66999999995365E-07,0
0.007626875,1
1.66999999995365E-07,0
0.007634208,1
1.25000000017472E-07,0
0.007631417,1
1.25000000017472E-07,0
0.00762475,1
1.25000000017472E-07,0
0.007634958,1
1.66999999995365E-07,0
0.007629416,1
1.66999999995365E-07,0
0.007630375,1
1.66999999995365E-07,0
0.007633958,1
1.67000000050876E-07,0
0.007636083,1
1.25000000017472E-07,0
0.00763725,1
1.67000000050876E-07,0
0.007635,1
1.66000000079158E-07,0
0.0076325,1
1.67000000050876E-07,0
0.007634875,1
1.2499999990645E-07,0
0.007632583,1
1.25000000017472E-07,0
0.007630125,1
1.66999999939854E-07,0
0.007634,1
1.66999999939854E-07,0
0.007634458,1
1.25000000017472E-07,0
0.007633958,1
1.25000000017472E-07,0
0.007636709,1
1.66000000079158E-07,0
0.007641875,1
1.67000000050876E-07,0
0.007643833,1
1.66999999939854E-07,0
0.00764025,1
1.25000000017472E-07,0
0.00763975,1
1.25000000017472E-07,0
0.007638917,1
1.2499999990645E-07,0
0.0076315,1
1.66000000079158E-07,0
0.007629459,1
1.25000000017472E-07,0
0.007642833,1
1.67000000050876E-07,0
0.007637125,1
1.2499999990645E-07,0
0.007630291,1
1.25000000017472E-07,0
0.0076355,1
1.67000000050876E-07,0
0.007629958,1
1.66999999939854E-07,0
0.007635542,1
1.25000000017472E-07,0
0.007637708,1
1.66999999939854E-07,0
0.00762925,1
1.25000000017472E-07,0
0.007631958,1
1.66999999939854E-07,0
0.0076355,1
1.25000000017472E-07,0
0.00764125,1
1.25000000017472E-07,0
0.007637458,1
1.66999999939854E-07,0
0.00762975,1
1.66000000079158E-07,0
0.007640125,1
1.25000000017472E-07,0
0.007626834,1
1.25000000017472E-07,0
0.00762175,1
1.25000000017472E-07,0
0.007623541,1
1.67000000050876E-07,0
0.007635792,1
1.65999999968136E-07,0
0.007629875,1
1.67000000050876E-07,0
0.007624625,1
1.67000000050876E-07,0
0.007627125,1
1.65999999968136E-07,0
0.007634209,1
1.66000000079158E-07,0
0.007632917,1
1.2499999990645E-07,0
0.007632542,1
1.65999999968136E-07,0
0.007632917,1
1.25000000017472E-07,0
0.007630958,1
1.67000000050876E-07,0
0.007634833,1
1.67000000050876E-07,0
0.007635667,1
1.25000000017472E-07,0
0.00762525,1
