delta_t,Channel 7
0.00661925,1
0.007637125,1
0.007639625,1
0.007643625,1
0.007636042,1
0.007632542,1
0.007633,1
0.007632541,1
0.007637625,1
0.007628,1
0.007630417,1
0.007632417,1
0.007630167,1
0.00762925,1
0.007633583,1
0.007633917,1
0.007636584,1
0.007629416,1
0.00762825,1
0.007628,1
0.0076335,1
0.007633958,1
0.007635,1
0.0076325,1
0.00763175,1
0.007627708,1
0.007624167,1
0.007627916,1
0.007624125,1
0.007623209,1
0.007625584,1
0.007627708,1
0.007633041,1
0.007630833,1
0.007632958,1
0.007629417,1
0.007628208,1
0.007629916,1
0.007636625,1
0.007635708,1
0.007638042,1
0.007632333,1
0.007623875,1
0.007626292,1
0.007633167,1
0.007632375,1
0.007628459,1
0.007629459,1
0.007626625,1
0.007629208,1
0.007623542,1
0.007629417,1
0.00762825,1
0.007634208,1
0.007633,1
0.007632334,1
0.007631542,1
0.007626208,1
0.007626875,1
0.007634208,1
0.007631417,1
0.00762475,1
0.007634958,1
0.007629416,1
0.007630375,1
0.007633958,1
0.007636083,1
0.00763725,1
0.007635,1
0.0076325,1
0.007634875,1
0.007632583,1
0.007630125,1
0.007634,1
0.007634458,1
0.007633958,1
0.007636709,1
0.007641875,1
0.007643833,1
0.00764025,1
0.00763975,1
0.007638917,1
0.0076315,1
0.007629459,1
0.007642833,1
0.007637125,1
0.007630291,1
0.0076355,1
0.007629958,1
0.007635542,1
0.007637708,1
0.00762925,1
0.007631958,1
0.0076355,1
0.00764125,1
0.007637458,1
0.00762975,1
0.007640125,1
0.007626834,1
0.00762175,1
0.007623541,1
0.007635792,1
0.007629875,1
0.007624625,1
0.007627125,1
0.007634209,1
0.007632917,1
0.007632542,1
0.007632917,1
0.007630958,1
0.007634833,1
0.007635667,1
0.00762525,1
0.007630792,1
0.007633,1
0.007631042,1
0.007628583,1
0.007632625,1
0.007631375,1
0.007631,1
0.007631333,1
0.007637083,1
0.007634583,1
0.007638583,1
0.007633042,1
0.007629417,1
0.007628209,1
0.007624834,1
0.007628334,1
0.007634,1
0.0076315,1
0.00762775,1
0.007630417,1
0.007634,1
0.007639166,1
0.007629334,1
0.00763975,1
0.007635792,1
0.00763925,1
0.007637334,1
0.007641167,1
0.007643541,1
0.007641125,1
0.007633042,1
0.007630166,1
0.007630875,1
0.007640708,1
0.007640417,1
0.007639833,1
0.007634208,1
0.007643833,1
0.007640333,1
0.007639375,1
0.007635791,1
0.007640834,1
0.007637334,1
0.00763775,1
0.00763575,1
0.0076365,1
0.007632541,1
0.007629792,1
0.007633917,1
0.007636583,1
0.007635667,1
0.007634917,1
0.007637208,1
0.007639666,1
0.007638792,1
0.007634625,1
0.007635542,1
0.00763925,1
0.007632583,1
0.007641083,1
0.007638916,1
0.00763175,1
0.007638875,1
0.007634667,1
0.007635542,1
0.007637625,1
0.007638584,1
0.007637667,1
0.0076315,1
0.007634458,1
0.007635708,1
0.007631459,1
