,Channel 7
0.004578917,1
0.008169334,1
0.008176083,1
0.008175625,1
0.008169833,1
0.008166542,1
0.008175916,1
0.008175583,1
0.008176042,1
0.008170875,1
0.00817275,1
0.008167916,1
0.008174042,1
0.008178875,1
0.008175958,1
0.008177125,1
0.008175584,1
0.008170875,1
0.008169584,1
0.008175583,1
0.008166291,1
0.00817575,1
0.008167792,1
0.008164708,1
0.008166209,1
0.008175792,1
0.008164625,1
0.00817275,1
0.008177125,1
0.008177208,1
0.008181875,1
0.008179083,1
0.008179125,1
0.008177291,1
0.008185292,1
0.008172583,1
0.0081755,1
0.008174041,1
0.008185,1
0.008189708,1
0.0081865,1
0.008185083,1
0.008182042,1
0.008178708,1
0.008177125,1
0.008178667,1
0.008180666,1
0.008178667,1
0.008174375,1
0.008169458,1
0.008174542,1
0.008171,1
0.008170875,1
0.00817425,1
0.008166167,1
0.008168,1
0.008174,1
0.008170917,1
0.008177125,1
0.008172583,1
0.008173958,1
0.008172542,1
0.008171083,1
0.008164625,1
0.008170917,1
0.008191333,1
0.008177125,1
0.008181792,1
0.008186584,1
0.008188167,1
0.008183375,1
0.008191208,1
0.0081945,1
0.008189875,1
0.008181875,1
0.008183375,1
0.00819275,1
0.008194334,1
0.008181875,1
0.008180459,1
0.008180292,1
0.008183375,1
0.008174291,1
0.008180375,1
0.0081835,1
0.008188083,1
0.008193083,1
0.008199,1
0.00818675,1
0.008188167,1
0.008189584,1
0.00818825,1
0.008191167,1
0.008193083,1
0.008203667,1
0.008196167,1
0.00819325,1
0.0081865,1
0.008193,1
0.008188083,1
0.008186791,1
0.008192792,1
0.008193333,1
0.008189667,1
0.008192666,1
0.008194333,1
0.008185042,1
0.008188125,1
0.008188417,1
0.008181917,1
0.008188209,1
0.008191166,1
0.008196083,1
0.008197459,1
0.008203708,1
0.008189875,1
0.008191167,1
0.008197667,1
0.008196125,1
0.008189667,1
0.00818175,1
0.008180458,1
0.008174042,1
0.008180417,1
0.008181791,1
0.00817575,1
0.008177084,1
0.008183375,1
0.008187,1
0.008185084,1
0.008194541,1
0.008189667,1
0.008182208,1
0.008179,1
0.008174375,1
0.00817725,1
0.008179083,1
0.008183667,1
0.00818175,1
0.008175916,1
0.008182125,1
0.008177417,1
0.008171292,1
0.008164916,1
0.00817125,1
0.008169333,1
0.008178667,1
0.008180417,1
0.008175667,1
0.008172459,1
0.008177125,1
0.008177083,1
0.008174083,1
0.008170958,1
0.008169334,1
0.008175791,1
0.008175584,1
0.0081695,1
0.008172917,1
0.008166291,1
0.008176,1
0.008169334,1
0.0081865,1
0.008178834,1
0.008178709,1
0.008182125,1
0.008185125,1
0.008185,1
0.008184958,1
0.008186542,1
0.00818675,1
0.008186625,1
0.008189541,1
0.008195875,1
0.008186917,1
0.008181917,1
0.008187,1
0.008189708,1
0.008200916,1
0.00819275,1
0.008191458,1
0.008194292,1
0.00819125,1
0.008197667,1
0.008197666,1
0.008194417,1
0.008194458,1
0.008189833,1
0.008184958,1
0.008183541,1
0.008182375,1
0.008197667,1
0.008195833,1
0.008196167,1
0.00819275,1
0.008203667,1
0.00819925,1
0.008197541,1
0.008185125,1
0.008186541,1
0.00818525,1
0.008178792,1
0.008180708,1
0.00818025,1
0.008183417,1
0.008183541,1
0.008178667,1
0.008178791,1
0.0081755,1
0.008168041,1
0.008169458,1
0.008177167,1
0.008174333,1
0.008180375,1
0.008183459,1
0.0081865,1
0.008197417,1
0.008186625,1
0.008183708,1
0.008190333,1
0.00817875,1
0.008180459,1
0.008185083,1
0.008178833,1
0.0081775,1
0.008182042,1
0.008185042,1
0.0081725,1
0.008178666,1
0.008177417,1
0.008183708,1
0.008180292,1
0.008182375,1
0.008188334,1
0.008182125,1
0.008185208,1
0.008177375,1
0.008174292,1
0.008172667,1
0.008172584,1
0.008178709,1
0.0081835,1
0.008178667,1
0.008174167,1
0.008186458,1
0.008180375,1
0.008183375,1
0.008189792,1
0.008182167,1
0.008180292,1
0.008183583,1
0.008183667,1
0.008184916,1
0.008181834,1
0.008175667,1
0.008183375,1
0.008177459,1
0.008177292,1
0.008177166,1
0.008182083,1
0.0081835,1
0.00818025,1
0.008188542,1
0.008175584,1
0.008179208,1
0.008183625,1
0.008177125,1
0.008180375,1
0.008183417,1
0.008191334,1
0.008184875,1
0.008183417,1
0.008193042,1
0.008195916,1
0.008183792,1
0.008181833,1
0.008183333,1
0.008188375,1
0.008189625,1
0.008192958,1
0.008188,1
0.008188459,1
0.008184958,1
0.00818975,1
0.008184958,1
0.008192833,1
0.00819275,1
0.008193125,1
0.008180333,1
0.008175625,1
0.008189917,1
0.008175709,1
0.008188084,1
0.008189625,1
0.008181791,1
0.008189833,1
0.008186584,1
0.008188166,1
0.008191208,1
0.008191417,1
0.008183375,1
0.0081835,1
0.008186458,1
0.008183375,1
0.008173958,1
0.008183459,1
0.008192708,1
0.008192708,1
0.008188041,1
0.008186667,1
0.008189917,1
0.008191375,1
0.008188,1
0.008193041,1
0.008196,1
0.008193,1
0.008191458,1
0.008183542,1
0.008188042,1
0.008193125,1
0.008192958,1
0.008189625,1
0.008194292,1
0.008180583,1
0.008183333,1
0.00818975,1
0.008179041,1
0.008191458,1
0.008184917,1
0.008189625,1
0.008180209,1
0.00818025,1
0.008191083,1
0.008186792,1
0.008186709,1
0.008186625,1
0.008189625,1
0.008181792,1
0.008181834,1
0.008180291,1
0.00818975,1
0.008182084,1
0.008192875,1
0.008177125,1
0.00817875,1
0.008183583,1
0.008181834,1
0.008183541,1
0.008182333,1
0.008181875,1
0.008176,1
0.00818025,1
0.008185209,1
0.00819125,1
0.008184875,1
0.008177167,1
0.008178625,1
0.008177292,1
0.008186875,1
0.0081835,1
0.008178667,1
0.008180375,1
0.008175667,1
0.008178667,1
0.008183666,1
0.008175917,1
0.008170917,1
0.00818025,1
0.00817925,1
0.008180459,1
0.008181917,1
0.008180541,1
0.008184875,1
