,Channel 7
,0
0.007805167,1
1.65999999999361E-07,0
0.00862625,1
1.67000000002304E-07,0
0.008626333,1
1.66999999998835E-07,0
0.008633958,1
1.67000000002304E-07,0
0.008624917,1
1.66000000002831E-07,0
0.008631125,1
1.24999999996656E-07,0
0.00862475,1
1.67000000002304E-07,0
0.008632375,1
1.66999999995365E-07,0
0.008623208,1
1.66999999995365E-07,0
0.008624875,1
1.65999999995892E-07,0
0.008629875,1
1.66999999995365E-07,0
0.008634208,1
1.25000000003594E-07,0
0.008626667,1
1.25000000003594E-07,0
0.008640333,1
1.66999999995365E-07,0
0.008637417,1
1.66000000023647E-07,0
0.008627834,1
1.65999999995892E-07,0
0.008629459,1
1.25000000017472E-07,0
0.008632458,1
1.66999999995365E-07,0
0.008626333,1
1.25000000017472E-07,0
0.008618458,1
1.24999999989717E-07,0
0.00862325,1
1.25000000017472E-07,0
0.008621417,1
1.24999999989717E-07,0
0.0086295,1
1.24999999989717E-07,0
0.008626167,1
1.65999999995892E-07,0
0.00862975,1
1.66999999995365E-07,0
0.008629167,1
1.66000000023647E-07,0
0.008623209,1
1.65999999995892E-07,0
0.008632709,1
1.25000000017472E-07,0
0.008632833,1
1.66999999995365E-07,0
0.008630875,1
1.65999999968136E-07,0
0.008628375,1
1.66999999995365E-07,0
0.008627708,1
1.66999999995365E-07,0
0.008632917,1
1.65999999968136E-07,0
0.00862625,1
1.25000000017472E-07,0
0.008643834,1
1.65999999968136E-07,0
0.008630834,1
1.24999999961961E-07,0
0.00863125,1
1.24999999961961E-07,0
0.008626166,1
1.67000000050876E-07,0
0.008629833,1
1.25000000017472E-07,0
0.008633959,1
1.66000000023647E-07,0
0.008626542,1
1.66999999995365E-07,0
0.008632333,1
1.66999999995365E-07,0
0.008629458,1
1.25000000017472E-07,0
0.008629417,1
1.25000000017472E-07,0
0.008625,1
1.25000000017472E-07,0
0.008624708,1
1.66999999995365E-07,0
0.008624791,1
1.66999999995365E-07,0
0.008623208,1
1.25000000017472E-07,0
0.008632875,1
1.66999999995365E-07,0
0.008644875,1
1.25000000017472E-07,0
0.008642292,1
1.25000000017472E-07,0
0.008645125,1
1.66000000023647E-07,0
0.008645042,1
1.66999999995365E-07,0
0.0086355,1
1.24999999961961E-07,0
0.008631291,1
1.66999999995365E-07,0
0.008629292,1
1.24999999961961E-07,0
0.008626458,1
1.66999999995365E-07,0
0.008632666,1
1.25000000017472E-07,0
0.008621917,1
1.25000000017472E-07,0
0.008626167,1
1.66000000079158E-07,0
0.008627917,1
1.25000000017472E-07,0
0.008623,1
1.25000000017472E-07,0
0.008625167,1
1.65999999968136E-07,0
0.008631,1
1.25000000017472E-07,0
0.008628084,1
1.25000000017472E-07,0
0.008627958,1
1.67000000050876E-07,0
0.00862475,1
1.66000000079158E-07,0
0.008626084,1
1.65999999968136E-07,0
0.0086205,1
1.25000000017472E-07,0
0.008623084,1
1.65999999968136E-07,0
0.008628167,1
1.66999999939854E-07,0
0.008623291,1
1.25000000017472E-07,0
0.0086235,1
1.66999999939854E-07,0
0.008620083,1
1.25000000017472E-07,0
0.008624792,1
