,Channel 7
0.004763438,1
0.007035313,1
0.007027687,1
0.007036,1
0.007035625,1
0.007037188,1
0.009479625,1
0.007036374,1
0.007035438,1
0.007044937,1
0.007038125,1
0.007038375,1
0.009621624,1
0.007034562,1
0.007052625,1
0.007025687,1
0.009636375,1
0.007079313,1
0.0070355,1
0.007037188,1
0.007029813,1
0.007271375,1
0.007046063,1
0.007033938,1
0.007045875,1
0.007202562,1
0.007024563,1
0.0070365,1
0.007039062,1
0.007036312,1
0.007041375,1
0.007045938,1
0.0070375,1
0.00701725,1
0.007141626,1
0.007026188,1
0.007146438,1
0.007028749,1
0.007036437,1
0.00703775,1
0.007033938,1
0.007034687,1
0.007036188,1
0.00702975,1
0.009502125,1
0.00703975,1
0.007042999,1
0.007030437,1
0.007028938,1
0.0070405,1
0.007118687,1
0.007026687,1
0.00714875,1
0.007041063,1
0.007033438,1
0.007046125,1
0.00703025,1
0.007028063,1
0.0070345,1
0.0070435,1
0.007026937,1
0.007035313,1
0.007031813,1
0.009645313,1
0.007025875,1
0.007038626,1
0.00702225,1
0.007045251,1
0.007044313,1
0.007026501,1
0.007031937,1
0.007166625,1
0.007027126,1
0.007032124,1
0.007043375,1
0.007032375,1
0.007169688,1
0.009657063,1
0.007024687,1
0.007053125,1
0.0070275,1
0.007030563,1
0.007022937,1
0.007029625,1
0.0070375,1
0.007034562,1
0.007033188,1
0.00708225,1
0.00704825,1
0.007087937,1
0.0070185,1
0.007034563,1
0.007035813,1
0.007034938,1
0.007034438,1
0.007039063,1
0.007040874,1
0.007058438,1
0.0070565,1
0.007018,1
0.007032625,1
0.00709225,1
0.007105251,1
0.007020937,1
0.007044125,1
0.007026751,1
0.007034501,1
0.007307438,1
0.007017876,1
0.007246937,1
0.007015313,1
0.00703425,1
0.009363125,1
0.007023188,1
0.007143062,1
0.007047187,1
0.00703675,1
0.007026375,1
0.007028,1
0.007053374,1
0.007035188,1
0.007035,1
0.0079975,1
0.007228624,1
0.007044062,1
0.009161062,1
0.007031063,1
0.007021688,1
0.007025313,1
0.007081313,1
0.00703725,1
0.0076495,1
0.008820812,1
0.007076624,1
0.007028563,1
0.007099563,1
0.00702925,1
0.007086625,1
0.007041562,1
0.007037437,1
0.007036938,1
0.009215625,1
0.007020063,1
0.00708675,1
0.007070062,1
0.007050125,1
0.007034187,1
0.007029,1
0.007049938,1
0.007030875,1
0.007037937,1
0.007042063,1
0.007162625,1
0.007021562,1
0.00704675,1
0.007051312,1
0.007047875,1
0.00705125,1
0.007033312,1
0.007039063,1
0.007166,1
0.007025188,1
0.007037187,1
0.007029313,1
0.007040125,1
0.007128688,1
0.007046375,1
0.007055438,1
0.007051813,1
0.007032062,1
0.007028875,1
0.007025375,1
0.007034687,1
0.007037437,1
0.007267125,1
0.007026563,1
0.009656875,1
0.007026125,1
0.007035624,1
0.007810125,1
0.007032874,1
0.007036687,1
0.007030687,1
0.0070605,1
0.007027625,1
0.007043375,1
0.00705,1
0.007032938,1
0.007030125,1
0.00703225,1
0.00704275,1
0.007074438,1
0.00728175,1
0.007010062,1
0.007261625,1
0.007034313,1
0.007040249,1
0.007033625,1
0.007051688,1
0.007035187,1
0.007032562,1
0.007066312,1
0.007026374,1
0.007024562,1
0.007026376,1
0.007154312,1
0.007036563,1
0.007026063,1
0.009550313,1
0.007030626,1
0.00704725,1
0.007028312,1
0.007038375,1
0.007035375,1
0.007162563,1
0.007047813,1
0.00702525,1
0.007030625,1
0.007041312,1
0.007054938,1
0.007026438,1
0.007025687,1
0.007033625,1
0.00703425,1
0.007035437,1
0.007057624,1
0.00703625,1
0.008142688,1
0.007033625,1
0.007051687,1
0.007020499,1
0.007022937,1
0.007028187,1
0.007052812,1
0.007073626,1
0.007043626,1
0.007030187,1
0.007029999,1
0.007043812,1
0.009584187,1
0.009062625,1
0.007027562,1
0.0070185,1
0.007036687,1
0.007032187,1
0.007063749,1
0.007087499,1
0.007028438,1
0.007274563,1
0.007030625,1
0.0071045,1
0.007045938,1
0.00720725,1
0.007031,1
0.007208,1
0.0070235,1
0.007078063,1
0.0071335,1
0.009416875,1
0.007274688,1
0.007032562,1
0.00703325,1
0.00704975,1
0.00703725,1
0.007045063,1
0.007034813,1
0.007026688,1
0.00707675,1
0.0070705,1
0.007041188,1
0.007039813,1
0.007033874,1
0.007030562,1
0.007026062,1
0.007037,1
0.007031,1
0.007045563,1
0.007069126,1
0.00704725,1
0.00718875,1
0.007026062,1
0.007090062,1
0.007039374,1
0.007031375,1
0.0070635,1
0.007031626,1
0.0070305,1
0.007100813,1
0.007022312,1
0.0071695,1
0.007039376,1
0.007024313,1
0.0071175,1
0.007100499,1
0.00702975,1
0.00702925,1
0.007023563,1
0.009577375,1
0.007025312,1
0.007029938,1
0.007128438,1
0.007089438,1
0.007040875,1
0.007235062,1
0.007063375,1
0.007037624,1
0.007033188,1
0.007092375,1
0.007022688,1
0.0070335,1
0.007040938,1
0.007043,1
0.007040124,1
0.007043626,1
0.00706375,1
0.007051876,1
0.007043124,1
0.007061438,1
0.0070315,1
0.007028563,1
0.007036438,1
0.009414125,1
0.007026062,1
0.007062562,1
0.007033187,1
0.007027188,1
0.007056063,1
0.00703,1
0.007038063,1
0.007038062,1
0.0071635,1
0.007030812,1
0.007020437,1
0.007033688,1
0.007027937,1
0.007032688,1
0.007050687,1
0.009567688,1
0.007031625,1
0.00702475,1
0.007062438,1
0.007028875,1
0.007032,1
0.00703975,1
0.007039126,1
0.007022063,1
0.007037187,1
0.007035375,1
