,Channel 7
0.004231792,1
0.008569834,1
0.008563584,1
0.008558958,1
0.008567083,1
0.008566333,1
0.008565333,1
0.00857275,1
0.008570542,1
0.00856825,1
0.008558958,1
0.008565208,1
0.008567208,1
0.008571875,1
0.008571916,1
0.008569875,1
0.008568417,1
0.008561625,1
0.008567083,1
0.0085685,1
0.008576292,1
0.00856375,1
0.008560333,1
0.008560417,1
0.00856325,1
0.008569542,1
0.008566834,1
0.008563542,1
0.008567792,1
0.008570375,1
0.008555708,1
0.008557042,1
0.008555458,1
0.008555541,1
0.008562083,1
0.00856,1
0.008565167,1
0.008570042,1
0.008571792,1
0.008574667,1
0.008573958,1
0.008572792,1
0.008573291,1
0.008577917,1
0.008576791,1
0.008577917,1
0.008566459,1
0.008576375,1
0.008579583,1
0.008575083,1
0.008571667,1
0.008573334,1
0.008575,1
0.0085715,1
0.008568583,1
0.0085685,1
0.008564916,1
0.008565167,1
0.008562459,1
0.008556792,1
0.008563375,1
0.008558291,1
0.008555917,1
0.008563209,1
0.008561792,1
0.008555125,1
0.008558916,1
0.008561667,1
0.00856675,1
0.00857,1
0.008566709,1
0.008570041,1
0.00856425,1
0.008571583,1
0.008575084,1
0.00857325,1
0.008571667,1
0.0085715,1
0.008575083,1
0.008569792,1
0.008571709,1
0.008571458,1
0.008571458,1
0.008566875,1
0.008567208,1
0.008569667,1
0.008573042,1
0.008566916,1
0.008567042,1
0.008565166,1
0.008565917,1
0.008563416,1
0.008558709,1
0.008563834,1
0.008563917,1
0.008566708,1
0.008565291,1
0.008566459,1
0.008565334,1
0.008563042,1
0.008565416,1
0.008571167,1
0.008562042,1
0.00856475,1
0.00856525,1
0.008563167,1
0.008559875,1
0.008556667,1
0.008559,1
0.008565166,1
0.008566708,1
0.008570167,1
0.008562166,1
0.0085615,1
0.00857375,1
0.008558334,1
0.008568584,1
0.00856725,1
0.008568458,1
0.008568,1
0.008563958,1
0.008564833,1
0.008571875,1
0.008569792,1
0.008573084,1
0.008568459,1
0.008563584,1
0.008563583,1
0.008560083,1
0.008568125,1
0.008555333,1
0.0085535,1
0.008564,1
0.008563333,1
0.008553708,1
0.008555125,1
0.008554208,1
0.008561416,1
0.008571542,1
0.00856025,1
0.008565041,1
0.008566292,1
0.008562166,1
0.008555417,1
0.008558583,1
0.008568375,1
0.008569667,1
0.008571209,1
0.008566834,1
0.008574834,1
0.008575125,1
0.008569875,1
0.008573167,1
0.00856525,1
0.008568584,1
0.008579917,1
0.008578208,1
0.008581417,1
0.008577041,1
0.008569708,1
0.008573209,1
0.008567292,1
0.008571833,1
0.008573458,1
0.008568625,1
0.008568791,1
0.008568667,1
0.008568625,1
0.008566917,1
0.008560292,1
0.008573458,1
0.008570541,1
0.008570042,1
0.008569917,1
0.008562041,1
0.008558,1
0.008555125,1
0.008555959,1
0.008563125,1
0.008566667,1
0.008571833,1
0.00856525,1
0.008565208,1
0.0085685,1
0.008565416,1
0.008562084,1
0.008565709,1
0.008559083,1
0.008560166,1
0.008555375,1
0.008566958,1
0.00856525,1
0.008569584,1
0.008561459,1
0.008558709,1
0.008552291,1
0.008555125,1
0.008558375,1
0.008556,1
0.008565167,1
0.008557375,1
0.008552042,1
0.008548833,1
0.008552042,1
0.008548084,1
0.008551875,1
0.008562125,1
0.008566375,1
0.008557667,1
0.008552458,1
0.008551958,1
0.008551542,1
0.008552125,1
0.008554959,1
0.008555709,1
0.008557375,1
0.008549208,1
0.008545708,1
0.008557292,1
0.008552,1
0.008546208,1
0.008553708,1
0.008561875,1
0.008553625,1
0.008558833,1
0.008557166,1
0.008546792,1
0.008547459,1
0.008553417,1
0.0085585,1
0.008558958,1
0.008563958,1
0.008568875,1
0.008559875,1
0.008568625,1
0.008561834,1
0.008570334,1
0.008580791,1
0.008574708,1
0.008566375,1
0.00856525,1
0.008568333,1
0.008568667,1
0.008568291,1
0.008561834,1
0.008552375,1
0.008550875,1
0.008555375,1
0.008563666,1
0.008567833,1
0.008565167,1
0.008569458,1
0.008561916,1
0.00856625,1
0.00856825,1
0.008560458,1
0.008563583,1
0.008564833,1
0.008565083,1
0.008561875,1
0.00856875,1
0.008562,1
0.008557625,1
0.008560083,1
0.008556,1
0.008555208,1
0.008557333,1
0.008565292,1
0.008567166,1
0.008568417,1
0.008563833,1
0.00856325,1
0.008561791,1
0.008561708,1
0.008566959,1
0.008560084,1
0.008555875,1
0.008561875,1
0.008557208,1
0.008563375,1
0.008562417,1
0.008558625,1
0.008565584,1
0.008561791,1
0.008566958,1
0.008558292,1
0.008558459,1
0.008560125,1
0.008557375,1
0.0085555,1
0.008558458,1
0.008560458,1
0.00856875,1
0.008558833,1
0.008553833,1
0.008553791,1
0.008556958,1
0.008552375,1
0.008552333,1
0.008561791,1
0.008558875,1
0.008554083,1
0.008545958,1
0.008554,1
0.008556875,1
0.008561333,1
0.008557,1
0.008564625,1
0.008557167,1
0.008566791,1
0.00857,1
0.008565375,1
0.008576792,1
0.008570083,1
0.008569875,1
0.008564916,1
0.008561542,1
0.00856375,1
0.008560334,1
0.008564625,1
0.008565542,1
0.008566625,1
0.008571791,1
0.008571667,1
0.008567375,1
0.008566625,1
0.008574833,1
0.008568416,1
0.008567,1
0.008568,1
0.008563625,1
0.008574666,1
0.008569167,1
0.008566791,1
0.008568458,1
0.00857975,1
0.008568375,1
0.008568458,1
0.0085705,1
0.008571458,1
0.00857025,1
0.008563084,1
0.008561875,1
0.008553542,1
0.008562417,1
0.008562292,1
0.008560958,1
0.008565166,1
0.008558709,1
0.008558833,1
0.008571958,1
0.008571375,1
0.008563375,1
0.008560083,1
0.008566625,1
0.008556833,1
0.008568292,1
0.008566416,1
0.008562,1
0.0085605,1
0.008561042,1
0.008566416,1
0.008564167,1
0.008569625,1
0.008566834,1
0.008561917,1
0.008561708,1
0.008559,1
0.008553833,1
0.008558667,1
0.008559,1
0.008558042,1
0.008566833,1
0.008554167,1
0.008565459,1
0.008563167,1
0.008568958,1
0.008571833,1
0.008559208,1
0.008567167,1
0.0085635,1
0.008565042,1
0.008563708,1
0.008555083,1
0.008550625,1
0.008557167,1
0.008557291,1
0.008557042,1
0.0085575,1
0.008562,1
0.008564833,1
0.008557,1
0.008562,1
0.008568125,1
0.008570125,1
0.008577792,1
0.008573,1
0.008568375,1
0.008573583,1
0.008571667,1
0.008571666,1
0.008581125,1
0.008573208,1
0.008567833,1
0.008571541,1
0.008573292,1
0.008571708,1
0.008569541,1
0.008563583,1
0.008565167,1
0.008558334,1
0.008555166,1
0.008557292,1
0.008560667,1
