,Reconfiguring
,0
0.008615708,1
2.08999999997544E-07,0
0.008614166,1
2.5000000000025E-07,0
0.008609292,1
2.5000000000025E-07,0
0.008615208,1
2.5000000000025E-07,0
0.008610959,1
2.5000000000025E-07,0
0.00861125,1
2.5000000000025E-07,0
0.008613583,1
2.50000000007189E-07,0
0.008614917,1
2.49999999993311E-07,0
0.008620833,1
2.50000000007189E-07,0
0.008622208,1
2.49999999993311E-07,0
0.008625792,1
2.49999999993311E-07,0
0.00861375,1
2.49999999993311E-07,0
0.008617625,1
2.0800000000154E-07,0
0.008621167,1
2.07999999973785E-07,0
0.008616334,1
2.0800000000154E-07,0
0.00862,1
2.50000000007189E-07,0
0.008616042,1
2.0800000000154E-07,0
0.008619667,1
2.0800000000154E-07,0
0.008622458,1
2.50000000007189E-07,0
0.008629667,1
2.50000000007189E-07,0
0.008629292,1
2.50000000007189E-07,0
0.008630833,1
2.50000000007189E-07,0
0.008621958,1
2.09000000001014E-07,0
0.008620833,1
2.0800000000154E-07,0
0.008621334,1
2.49999999979433E-07,0
0.008615833,1
2.49999999979433E-07,0
0.0086295,1
2.50000000007189E-07,0
0.008631667,1
2.50000000007189E-07,0
0.008621041,1
2.49999999979433E-07,0
0.008622417,1
2.0800000000154E-07,0
0.008622292,1
2.49999999979433E-07,0
0.008626125,1
2.50000000034944E-07,0
0.008628292,1
2.49999999979433E-07,0
0.00864025,1
2.49999999979433E-07,0
0.008630541,1
2.49999999979433E-07,0
0.008629584,1
2.07999999946029E-07,0
0.008631667,1
2.50000000034944E-07,0
0.008636,1
2.49999999979433E-07,0
0.008630166,1
2.49999999979433E-07,0
0.008621334,1
2.50000000034944E-07,0
0.008633166,1
2.09000000028769E-07,0
0.008630208,1
2.50000000034944E-07,0
0.008628,1
2.0800000000154E-07,0
0.008635125,1
2.08999999973258E-07,0
0.008643625,1
2.0800000000154E-07,0
0.008639917,1
2.49999999979433E-07,0
0.008629625,1
2.50000000034944E-07,0
0.008624958,1
2.0800000000154E-07,0
0.008617834,1
2.0800000000154E-07,0
0.008627333,1
2.50000000034944E-07,0
0.008633334,1
2.49999999979433E-07,0
0.008629916,1
2.08999999973258E-07,0
0.008627208,1
2.50000000034944E-07,0
0.008621375,1
2.49999999979433E-07,0
0.008619458,1
2.49999999979433E-07,0
0.008625667,1
2.50000000034944E-07,0
0.008625125,1
2.0800000000154E-07,0
0.008632792,1
2.49999999923922E-07,0
0.008643917,1
2.50000000034944E-07,0
0.008633083,1
2.50000000034944E-07,0
0.0086335,1
2.50000000034944E-07,0
0.00863825,1
2.0800000000154E-07,0
0.008636334,1
2.49999999923922E-07,0
0.0086365,1
2.0800000000154E-07,0
0.0086395,1
2.49999999923922E-07,0
0.00863625,1
2.0800000000154E-07,0
0.008635542,1
2.49999999923922E-07,0
0.008630458,1
2.50000000034944E-07,0
0.008629084,1
2.50000000034944E-07,0
0.008626958,1
2.49999999923922E-07,0
0.008625292,1
2.49999999923922E-07,0
0.008621666,1
2.50000000034944E-07,0
0.008622709,1
2.50000000034944E-07,0
0.008625,1
2.50000000034944E-07,0
0.008627708,1
2.0800000000154E-07,0
0.00863475,1
2.09000000084281E-07,0
0.0086415,1
2.50000000034944E-07,0
0.008629541,1
2.50000000034944E-07,0
0.008635167,1
2.0800000000154E-07,0
0.008632,1
2.09000000084281E-07,0
0.00864,1
2.49999999923922E-07,0
0.00862525,1
2.50000000034944E-07,0
0.008634333,1
2.0800000000154E-07,0
0.008627792,1
2.49999999923922E-07,0
0.008631417,1
2.50000000034944E-07,0
0.008630125,1
2.0800000000154E-07,0
0.008635292,1
2.50000000034944E-07,0
0.008626416,1
2.49999999923922E-07,0
0.008625667,1
2.50000000034944E-07,0
0.008630083,1
2.50000000034944E-07,0
0.008639542,1
2.50000000034944E-07,0
0.00863175,1
2.0800000000154E-07,0
0.008629459,1
2.50000000034944E-07,0
0.00862325,1
2.50000000034944E-07,0
0.008620208,1
2.50000000034944E-07,0
0.008617667,1
2.50000000034944E-07,0
0.008622833,1
2.49999999923922E-07,0
0.008633292,1
2.50000000034944E-07,0
0.008630958,1
2.50000000034944E-07,0
0.008628292,1
2.49999999923922E-07,0
0.008622958,1
2.50000000034944E-07,0
0.008622125,1
2.0800000000154E-07,0
0.008620167,1
2.49999999923922E-07,0
0.008616,1
2.49999999923922E-07,0
0.00862125,1
2.50000000034944E-07,0
0.008622333,1
2.50000000034944E-07,0
0.008625167,1
2.49999999923922E-07,0
0.008613833,1
2.49999999923922E-07,0
0.00862475,1
2.50000000034944E-07,0
0.008631292,1
2.50000000034944E-07,0
0.008633375,1
2.0800000000154E-07,0
0.00862525,1
2.50000000034944E-07,0
0.008627959,1
2.50000000034944E-07,0
0.008624791,1
2.50000000034944E-07,0
0.00862875,1
2.50000000034944E-07,0
0.008629209,1
2.08000000112563E-07,0
0.008622708,1
2.09000000195303E-07,0
0.008625083,1
2.50000000034944E-07,0
0.008632292,1
2.08000000112563E-07,0
0.008631625,1
2.50000000034944E-07,0
0.0086405,1
2.08000000112563E-07,0
0.008629709,1
2.50000000034944E-07,0
0.008638875,1
2.50000000034944E-07,0
0.008640458,1
2.50000000034944E-07,0
0.008626625,1
2.50000000034944E-07,0
0.008634333,1
2.50000000034944E-07,0
0.008630875,1
2.08999999973258E-07,0
0.008626541,1
2.50000000034944E-07,0
0.008620167,1
2.50000000034944E-07,0
0.008621458,1
2.50000000034944E-07,0
0.008622667,1
2.50000000034944E-07,0
0.008626667,1
2.499999998129E-07,0
0.008616791,1
2.50000000034944E-07,0
0.00861825,1
2.50000000034944E-07,0
0.008625917,1
2.50000000034944E-07,0
0.008627333,1
2.50000000034944E-07,0
0.008618959,1
2.07999999890518E-07,0
0.008626833,1
2.499999998129E-07,0
0.008627292,1
2.07999999890518E-07,0
0.008624709,1
2.50000000034944E-07,0
0.008638833,1
2.08000000112563E-07,0
0.008636,1
2.50000000034944E-07,0
0.008637875,1
2.50000000034944E-07,0
0.008629292,1
2.50000000034944E-07,0
0.008631833,1
2.50000000034944E-07,0
0.008626209,1
2.50000000034944E-07,0
0.008624333,1
2.50000000034944E-07,0
0.008634,1
2.499999998129E-07,0
0.008621375,1
2.07999999890518E-07,0
0.008622209,1
2.50000000034944E-07,0
0.008629041,1
2.50000000034944E-07,0
0.008625209,1
2.50000000034944E-07,0
0.008633041,1
2.50000000034944E-07,0
0.008635584,1
2.50000000034944E-07,0
0.008640291,1
2.08999999973258E-07,0
0.008636333,1
2.07999999890518E-07,0
0.008635167,1
2.50000000034944E-07,0
0.008628542,1
2.499999998129E-07,0
0.008638083,1
2.50000000034944E-07,0
0.008649125,1
2.499999998129E-07,0
0.008643208,1
2.50000000034944E-07,0
0.008633459,1
2.07999999890518E-07,0
0.008637375,1
2.50000000034944E-07,0
0.00863875,1
2.08000000112563E-07,0
0.008644875,1
2.50000000034944E-07,0
0.008639667,1
2.50000000034944E-07,0
0.008628,1
2.499999998129E-07,0
0.008632,1
2.50000000034944E-07,0
0.008643917,1
2.07999999890518E-07,0
0.008640542,1
