,Reconfiguring
0.008257042,1
0.008588416,1
0.008587166,1
0.00857725,1
0.008578959,1
0.008585375,1
0.008586917,1
0.008583708,1
0.008585375,1
0.008584959,1
0.0085825,1
0.008583417,1
0.008582541,1
0.008577209,1
0.008580583,1
0.00858525,1
0.008593625,1
0.008593375,1
0.008585583,1
0.008578708,1
0.008587042,1
0.008586417,1
0.008588792,1
0.008591875,1
0.008585458,1
0.00859825,1
0.008591959,1
0.008588666,1
0.008580708,1
0.008577167,1
0.008580417,1
0.0085835,1
0.008582,1
0.0085805,1
0.0085755,1
0.0085785,1
0.008572333,1
0.008572334,1
0.008572375,1
0.008570417,1
0.008569208,1
0.008574958,1
0.008580584,1
0.00857225,1
0.008577166,1
0.008578625,1
0.008583833,1
0.008586542,1
0.008580542,1
0.008594917,1
0.008585416,1
0.008582084,1
0.008570416,1
0.008577042,1
0.008575583,1
0.0085725,1
0.008577875,1
0.008575542,1
0.008578833,1
0.008580625,1
0.00858375,1
0.008586875,1
0.0085805,1
0.008585458,1
0.008577292,1
0.008572125,1
0.008570833,1
0.008572208,1
0.008577375,1
0.008577,1
0.008584125,1
0.008578708,1
0.008582334,1
0.008585083,1
0.008582,1
0.008579125,1
0.008574125,1
0.008570417,1
0.008577083,1
0.008578833,1
0.008585958,1
0.008577042,1
0.008580792,1
0.008580333,1
0.008589042,1
0.008583542,1
0.0085855,1
0.008586916,1
0.008586917,1
0.008573625,1
0.008572542,1
0.008577208,1
0.008572,1
0.008576917,1
0.008577292,1
0.008591791,1
0.008590625,1
0.008580334,1
0.008582416,1
0.008574084,1
0.008578708,1
0.008570458,1
0.008582667,1
0.008585375,1
0.008581625,1
0.008585375,1
0.008580542,1
0.008581917,1
0.008577875,1
0.008583792,1
0.008579458,1
0.008572041,1
0.00858225,1
0.008581459,1
0.008577375,1
0.008574166,1
0.008573958,1
0.008588208,1
0.0085805,1
0.008581792,1
0.008584,1
0.008591708,1
0.008585083,1
0.008581834,1
0.008575416,1
0.008586792,1
0.008583708,1
0.008584667,1
0.00858875,1
0.008590167,1
0.008580375,1
0.008575541,1
0.008578708,1
0.00857875,1
0.008582209,1
0.008583417,1
0.008574458,1
0.008573917,1
0.00857275,1
0.008572208,1
0.008577125,1
0.008584834,1
0.0085775,1
0.008577042,1
0.008578792,1
0.00858525,1
0.008576916,1
0.008576917,1
0.008572625,1
0.008573667,1
0.008583625,1
0.008580084,1
0.008587083,1
0.008588667,1
0.008584292,1
0.008573667,1
0.008578917,1
0.008573833,1
0.008572625,1
0.008573541,1
0.008572416,1
0.008569041,1
0.00858225,1
0.00858475,1
0.008582417,1
0.008583583,1
0.00857425,1
0.0085805,1
0.008574333,1
0.008572542,1
0.008576375,1
0.008570458,1
0.008576,1
0.008572375,1
0.008574166,1
0.008578792,1
0.008572542,1
0.008569375,1
0.008573833,1
0.008580334,1
0.00857725,1
0.008583292,1
0.008574166,1
0.008573709,1
0.008572292,1
0.008570708,1
0.008578542,1
0.008567416,1
0.008579167,1
0.008570458,1
0.0085695,1
0.008572167,1
0.008569291,1
0.008570125,1
0.008573791,1
0.008580542,1
0.008584917,1
0.008588625,1
0.008583917,1
0.00857875,1
0.008569291,1
0.008573542,1
0.008583875,1
0.008583709,1
0.008585833,1
0.00858175,1
0.008582209,1
0.008582083,1
0.008578584,1
0.00857525,1
0.008575792,1
0.008576833,1
0.008578792,1
0.008577416,1
0.008587416,1
0.008588625,1
0.008587083,1
0.008589917,1
0.008583875,1
0.008585125,1
0.008581917,1
0.008591416,1
0.008584,1
0.008587,1
0.008591959,1
0.008586875,1
0.008583791,1
0.008583709,1
0.008587333,1
0.008583709,1
0.008585208,1
0.008585583,1
0.008585458,1
0.008583542,1
0.008584292,1
0.008583958,1
0.008585167,1
0.008578833,1
0.008577708,1
0.008580084,1
0.008575708,1
0.008580375,1
0.008587,1
0.0085725,1
0.008575833,1
0.008570709,1
0.00857675,1
0.008583666,1
0.008580792,1
0.008585458,1
0.008583791,1
0.00859175,1
0.00859,1
0.008583625,1
0.008587041,1
0.008582,1
0.008580666,1
0.008575666,1
0.008582375,1
0.008583541,1
0.008590625,1
0.0085885,1
0.008587209,1
0.008585292,1
0.008583833,1
0.008584083,1
0.008587291,1
0.008583666,1
0.008581708,1
0.008581708,1
0.008583584,1
0.008580416,1
0.00858225,1
0.008582125,1
0.008586917,1
0.008580167,1
0.008586916,1
0.008587084,1
0.008590291,1
0.008597,1
0.008597166,1
0.008595125,1
0.00858875,1
0.00859,1
0.008588666,1
0.008586959,1
0.008592458,1
0.008590125,1
0.008582125,1
0.008584875,1
0.008582417,1
0.008583292,1
0.008590042,1
0.008593458,1
0.008590667,1
0.008594792,1
0.00858225,1
0.008588333,1
0.00858375,1
0.008575417,1
0.00858375,1
0.008584917,1
0.008583916,1
0.008580584,1
0.008583875,1
0.008580416,1
0.0085885,1
0.008589625,1
0.00859,1
0.008581834,1
0.008583833,1
0.008583542,1
0.008595291,1
0.008593291,1
0.008591791,1
0.008585167,1
0.008594958,1
0.00859025,1
0.008585333,1
0.008583625,1
0.008590416,1
0.008581792,1
0.008578417,1
0.008587417,1
0.008570666,1
0.008576875,1
0.008571209,1
0.008583458,1
0.008590375,1
0.008586917,1
0.008583708,1
0.0085805,1
0.008577333,1
0.008585125,1
0.008583666,1
0.008581959,1
0.008583708,1
0.008587,1
0.008585375,1
0.008589792,1
0.008586791,1
0.008578709,1
0.008593791,1
0.008581792,1
0.008585417,1
0.00859025,1
0.008586916,1
0.008586792,1
0.008587333,1
0.008586459,1
0.008592041,1
0.008590334,1
0.008588708,1
0.008593875,1
0.008592167,1
0.00859675,1
0.00859525,1
0.008593333,1
0.008595334,1
0.0085985,1
0.008591667,1
0.008598083,1
0.008585417,1
0.00859,1
0.008590375,1
0.008585,1
0.008589875,1
0.008596625,1
0.008580875,1
0.008581959,1
0.008583708,1
0.008581958,1
0.008584041,1
0.008587084,1
0.008590291,1
0.008586709,1
0.008595375,1
0.008588708,1
0.008580667,1
0.008580459,1
0.008579125,1
0.008575416,1
0.008579041,1
0.008583416,1
0.008576125,1
0.008578834,1
0.008588541,1
0.008592167,1
0.008590542,1
0.008585333,1
0.008580542,1
0.008580291,1
0.008572709,1
0.008573666,1
0.008575875,1
0.008583709,1
