,Channel 7
0.00054875,1
0.008662,1
0.008661,1
0.008654,1
0.008655125,1
0.008646875,1
0.008648625,1
0.0086505,1
0.00865425,1
0.008659375,1
0.008653125,1
0.008660791,1
0.008661917,1
0.008658208,1
0.008657958,1
0.008655542,1
0.008661417,1
0.008649083,1
0.008655875,1
0.008652292,1
0.008638458,1
0.008648417,1
0.008655791,1
0.008654583,1
0.008644917,1
0.008652708,1
0.008652125,1
0.008649375,1
0.008642792,1
0.008657875,1
0.008649583,1
0.008651083,1
0.008657834,1
0.008652875,1
0.008652,1
0.008651375,1
0.008640459,1
0.0086515,1
0.008647334,1
0.008658834,1
0.008643125,1
0.00865675,1
0.008662667,1
0.008656209,1
0.008650083,1
0.008644666,1
0.008637,1
0.008645792,1
0.008656209,1
0.008650542,1
0.008644541,1
0.008650709,1
0.008654875,1
0.008654292,1
0.008643375,1
0.008660292,1
0.008652208,1
0.00864625,1
0.008655125,1
0.008653625,1
0.008646958,1
0.008637167,1
0.008642167,1
0.00862925,1
0.00863075,1
0.008636667,1
0.008633208,1
0.008629708,1
0.008633334,1
0.008635458,1
0.008647583,1
0.008647625,1
0.008641167,1
0.008646792,1
0.008645,1
0.008640792,1
0.008643625,1
0.008639625,1
0.008639792,1
0.008636666,1
0.008636667,1
0.008650917,1
0.008635708,1
0.008633333,1
0.008640291,1
0.008648834,1
0.008643584,1
0.008654167,1
0.008656583,1
0.008651125,1
0.008656792,1
0.008660083,1
0.008654333,1
0.008656083,1
0.0086525,1
0.008656875,1
0.008657791,1
0.008647875,1
0.00864725,1
0.008634083,1
0.008631167,1
0.008636417,1
0.008639833,1
0.008637542,1
0.008644416,1
0.008643792,1
0.0086455,1
0.008635708,1
0.008628667,1
0.008647,1
0.008645333,1
0.008647667,1
0.008642917,1
0.008655542,1
0.008653375,1
0.008654625,1
0.008647375,1
0.008643625,1
0.008643333,1
0.008646042,1
0.008642416,1
0.008650375,1
0.008646333,1
0.008637958,1
0.008641458,1
0.008638917,1
0.00863475,1
0.008642042,1
0.008629,1
0.008633,1
0.008633458,1
0.008630375,1
0.008629375,1
0.008631,1
0.008636375,1
0.008626708,1
0.008629459,1
0.008629584,1
0.008643166,1
0.008638958,1
0.008641583,1
0.008636,1
