,Channel 7
,0
0.007198292,1
1.66000000000228E-07,0
0.008574459,1
1.65999999999361E-07,0
0.008573959,1
1.25000000000125E-07,0
0.008577291,1
1.24999999996656E-07,0
0.00857725,1
1.25000000003594E-07,0
0.008580459,1
1.65999999995892E-07,0
0.0085755,1
1.66999999995365E-07,0
0.0085775,1
1.66999999995365E-07,0
0.008575541,1
1.67000000009243E-07,0
0.008575708,1
1.66999999995365E-07,0
0.008575667,1
1.66000000009769E-07,0
0.008576084,1
1.65999999995892E-07,0
0.008577042,1
1.25000000003594E-07,0
0.008577583,1
1.66999999995365E-07,0
0.008577125,1
1.25000000017472E-07,0
0.008575875,1
1.25000000017472E-07,0
0.00857575,1
1.66999999995365E-07,0
0.00857575,1
1.66000000023647E-07,0
0.008573959,1
1.65999999995892E-07,0
0.008574584,1
1.25000000017472E-07,0
0.008575375,1
1.65999999995892E-07,0
0.008572917,1
1.67000000023121E-07,0
0.008575541,1
1.66999999995365E-07,0
0.008575958,1
1.25000000017472E-07,0
0.008577125,1
1.66999999995365E-07,0
0.008578833,1
1.66999999995365E-07,0
0.008575583,1
1.66999999995365E-07,0
0.008575917,1
1.24999999989717E-07,0
0.008578708,1
1.67000000023121E-07,0
0.0085775,1
1.25000000017472E-07,0
0.00857725,1
1.66000000023647E-07,0
0.008578584,1
1.65999999968136E-07,0
0.008575459,1
1.25000000017472E-07,0
0.00857275,1
1.66000000023647E-07,0
0.008577209,1
1.24999999961961E-07,0
0.008579333,1
1.24999999961961E-07,0
0.008575333,1
1.66999999995365E-07,0
0.008575833,1
1.66999999995365E-07,0
0.00857575,1
1.66999999995365E-07,0
0.008577625,1
1.25000000017472E-07,0
0.008574416,1
1.24999999961961E-07,0
0.008575625,1
1.66999999995365E-07,0
0.008574083,1
1.24999999961961E-07,0
0.008583542,1
1.66999999995365E-07,0
0.008574208,1
1.25000000017472E-07,0
0.0085745,1
1.66999999995365E-07,0
0.008573958,1
1.66999999995365E-07,0
0.008575583,1
1.66999999995365E-07,0
0.008572166,1
1.67000000050876E-07,0
0.00857575,1
1.24999999961961E-07,0
0.008574167,1
1.66000000023647E-07,0
0.008572292,1
1.66999999995365E-07,0
0.008568958,1
1.24999999961961E-07,0
0.008573167,1
1.65999999968136E-07,0
0.008574084,1
1.25000000017472E-07,0
0.008577583,1
1.66999999995365E-07,0
0.008575708,1
1.66999999995365E-07,0
0.00857275,1
1.65999999968136E-07,0
0.008573667,1
1.25000000017472E-07,0
0.008575667,1
1.25000000017472E-07,0
0.008575541,1
1.66999999939854E-07,0
0.008582,1
1.67000000050876E-07,0
0.008577125,1
1.25000000017472E-07,0
0.008575708,1
1.25000000017472E-07,0
0.008577083,1
1.66999999939854E-07,0
0.008575917,1
1.65999999968136E-07,0
0.008575375,1
1.25000000017472E-07,0
0.008575875,1
1.66999999939854E-07,0
0.008575792,1
1.25000000017472E-07,0
0.008575625,1
1.65999999968136E-07,0
0.00857425,1
1.25000000017472E-07,0
0.008571,1
1.67000000050876E-07,0
0.008575583,1
1.25000000017472E-07,0
0.008574375,1
1.25000000017472E-07,0
0.008578667,1
1.25000000017472E-07,0
0.008577083,1
1.67000000050876E-07,0
0.008570833,1
1.67000000050876E-07,0
0.008574167,1
1.65999999968136E-07,0
0.008572625,1
1.25000000017472E-07,0
0.00857575,1
1.25000000017472E-07,0
0.008577084,1
1.65999999968136E-07,0
0.008574334,1
1.66000000079158E-07,0
0.008574,1
1.25000000017472E-07,0
0.008577167,1
1.25000000017472E-07,0
0.008575208,1
1.66999999939854E-07,0
0.008574458,1
1.25000000017472E-07,0
0.008569292,1
1.25000000017472E-07,0
0.008563458,1
1.67000000050876E-07,0
0.008572083,1
1.66999999939854E-07,0
0.008576125,1
1.67000000050876E-07,0
0.008572541,1
1.25000000017472E-07,0
0.008574542,1
1.25000000017472E-07,0
0.008580667,1
1.25000000017472E-07,0
0.008577166,1
1.67000000050876E-07,0
0.008577042,1
1.25000000017472E-07,0
0.0085775,1
1.65999999968136E-07,0
0.008577,1
1.66999999939854E-07,0
0.00857125,1
1.25000000017472E-07,0
0.00857375,1
1.67000000050876E-07,0
0.008574333,1
1.25000000017472E-07,0
0.008573958,1
1.67000000050876E-07,0
0.008574292,1
1.65999999968136E-07,0
